handle,real_name,bio,gtc_address,profile_link,image
yalormewn,Yalor Arnold,https://gov.gitcoin.co/t/introducing-stewards-governance/41/2,0x66b1De0f14a0ce971F7f248415063D44CAF19398,https://gitcoin.co/yalormewn,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/yalor/120/39_2.png
anettrolikova,Anett Rolikova,https://gov.gitcoin.co/t/introducing-stewards-governance/41/3,0x16D2AD8Cc04888b537bB7B631715335a901B57cA,https://gitcoin.co/anettrolikova,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/anett/120/22_2.png
lefterisjp,Lefteris Karapetsas,https://gov.gitcoin.co/t/introducing-stewards-governance/41/4,0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,https://gitcoin.co/lefterisjp,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/lefterisjp/120/24_2.png
simona-pop,Simona Pop,https://gov.gitcoin.co/t/introducing-stewards-governance/41/5,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,https://gitcoin.co/simona-pop,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/pop/120/23_2.png
linda-xie,Linda Xie,https://gov.gitcoin.co/t/introducing-stewards-governance/41/6,0x5e349eca2dc61aBCd9dD99Ce94d04136151a09Ee,https://gitcoin.co/linda-xie,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/linda/120/26_2.png
amsos,Aaron,https://gov.gitcoin.co/t/introducing-stewards-governance/41/7,0x58f123BD4261EA25955B362Be57D89F4B6E7110a,https://gitcoin.co/amsos,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/amsos/120/25_2.png
muskaankalra24,Muskan Kalra,https://gov.gitcoin.co/t/introducing-stewards-governance/41/8,0x4Bc519F0b7b348FaE780Afb2DD4aa76841bA8e9e,https://gitcoin.co/muskaankalra24,https://avatars.discourse-cdn.com/v4/letter/m/7ea924/120.png
fireeyesxyz,Cooper Turley,https://gov.gitcoin.co/t/introducing-stewards-governance/41/9,0xD23aff9aD562C445BCaB03321CBfE63bf4b0BcF2,https://gitcoin.co/fireeyesxyz,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/coopahtroopa/120/28_2.png
mrbrucespringsteen,Matt Stephenson,https://gov.gitcoin.co/t/introducing-stewards-governance/41/10,0x5BA02f4Ff6Af1d9d2Af8774D10fD32Eb57d4E2E6,https://gitcoin.co/mrbrucespringsteen,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/planckmatt/120/29_2.png
pet3r-pan,Peter,https://gov.gitcoin.co/t/introducing-stewards-governance/41/11,0x71553dF14eFe2708BF16734AAB821af239A24d3B,https://gitcoin.co/pet3r-pan,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/pet3rpan/120/30_2.png
tvanepps,Trenton Van Epps,https://gov.gitcoin.co/t/introducing-stewards-governance/41/12,0x4C0a466DF0628FE8699051b3Ac6506653191cc21,https://gitcoin.co/tvanepps,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/trent/120/32_2.png
anneconnelly,Anne Connelly,https://gov.gitcoin.co/t/introducing-stewards-governance/41/13,0xA30Ab83e693Ad49F3F651085DaD11d049c818923,https://gitcoin.co/anneconnelly,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/anneconnelly/120/34_2.png
nkennethk,Kenneth Ng,https://gov.gitcoin.co/t/introducing-stewards-governance/41/14,0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1,https://gitcoin.co/nkennethk,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/ken/120/36_2.png
ubipromoter,Philip Silva,https://gov.gitcoin.co/t/introducing-stewards-governance/41/15,0xd9ffaF2e880dF0cc7B7104e9E789d281a81824cf,https://gitcoin.co/ubipromoter,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/ubipromoter/120/38_2.png
tjayrush,Thomas Jay Rush,https://gov.gitcoin.co/t/introducing-stewards-governance/41/16,0xf503017d7baf7fbc0fff7492b751025c6a78179b,https://gitcoin.co/tjayrush,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/tjayrush/120/41_2.png
makoto,Makoto Inoue,https://gov.gitcoin.co/t/introducing-stewards-governance/41/17,0x5a384227b65fa093dec03ec34e111db80a040615,https://gitcoin.co/makoto,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/makoto/120/42_2.png
andytudhope,Andy Tudhope,https://gov.gitcoin.co/t/introducing-stewards-governance/41/18,0x31482858561725b74b5ec2a739e447bc74cdf7b9,https://gitcoin.co/andytudhope,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/cryptowanderer/120/44_2.png
adamstallard,Adam Stallard,https://gov.gitcoin.co/t/introducing-stewards-governance/41/19,0xdC0046B52e2E38AEe2271B6171ebb65cCD337518,https://gitcoin.co/adamstallard,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/castall/120/45_2.png
jordanlyall,Jordan Lyall,https://gov.gitcoin.co/t/introducing-stewards-governance/41/20,0xcf88fa6ee6d111b04be9b06ef6fad6bd6691b88c,https://gitcoin.co/jordanlyall,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/jordanlyall/120/58_2.png
hello-shreyas,Shreyas Hariharan,https://gov.gitcoin.co/t/introducing-stewards-governance/41/21,0x10D6d2e343281D388291A3e02f3293AaEdA67178,https://gitcoin.co/hello-shreyas,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/helloshreyas/120/50_2.png
auryn-macmillan,Auryn Macmillan,https://gov.gitcoin.co/t/introducing-stewards-governance/41/22,0x8B405dBf2F30844B608b08DaD20447A6955A6C6E,https://gitcoin.co/auryn-macmillan,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/auryn/120/66_2.png
anish-agnihotri,Anish Agnihotri,https://gov.gitcoin.co/t/introducing-stewards-governance/41/23,0x016c8780e5ccb32e5caa342a926794ce64d9c364,https://gitcoin.co/anish-agnihotri,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/anishagnihotri/120/65_2.png
peth-yursick,,https://gov.gitcoin.co/t/introducing-stewards-governance/41/25,0xb53b0255895c4f9e3a185e484e5b674bccfbc076,https://gitcoin.co/peth-yursick,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/peth/120/74_2.png
androolloyd,Andrew Lloyd,https://gov.gitcoin.co/t/introducing-stewards-governance/41/26,0x86d3ee9ff0983bc33b93cc8983371a500f873446,https://gitcoin.co/androolloyd,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/androolloyd/120/75_2.png
opolist,John Paller,https://gov.gitcoin.co/t/introducing-stewards-governance/41/27,0x7221b104fba7701084759fd25faca19ac6300855,https://gitcoin.co/Opolist,https://avatars.discourse-cdn.com/v4/letter/b/838e76/120.png
griffgreen,Griff Green,https://gov.gitcoin.co/t/introducing-stewards-governance/41/28,0x839395e20bbB182fa440d08F850E6c7A8f6F0780,https://gitcoin.co/GriffGreen,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/griff/120/82_2.png
waffi1998,,https://gov.gitcoin.co/t/introducing-stewards-governance/41/29,0x35EFa46f22e0fb34Cd8cb3DDF87149140D444b7c,https://gitcoin.co/waffi1998,https://avatars.discourse-cdn.com/v4/letter/s/bb73d2/120.png
niran,Niran Babalola,https://gov.gitcoin.co/t/introducing-stewards-governance/41/30,0x02Eb89D2ff910989024e19673f8302a695bBD979,https://gitcoin.co/niran,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/niran/120/85_2.png
austintgriffith,Austin Griffith,https://gov.gitcoin.co/t/introducing-stewards-governance/41/31,0x34aa3f359a9d614239015126635ce7732c18fdf3,https://gitcoin.co/austintgriffith,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/austingriffith/120/37_2.png
amy-jung,Amy Jung,https://gov.gitcoin.co/t/introducing-stewards-governance/41/32,0x73186b2a81952c2340c4eb2e74e89869e1183df0,https://gitcoin.co/amy-jung,https://avatars.discourse-cdn.com/v4/letter/a/4da419/120.png
cpstl,Charles St.Louis,https://gov.gitcoin.co/t/introducing-stewards-governance/41/33,0x88cCA876eEBB2A541ED87584F189319c3441Aca6,https://gitcoin.co/cpstl,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/cpstl/120/40_2.png
johncpalmer,John Palmer,https://gov.gitcoin.co/t/introducing-stewards-governance/41/35,0xb0623c91c65621df716ab8afe5f66656b21a9108,https://gitcoin.co/johncpalmer,https://avatars.discourse-cdn.com/v4/letter/j/b19c9b/120.png
mangorocoro,Daniel Hwang,https://gov.gitcoin.co/t/introducing-stewards-governance/41/36,0xc3fAb4228Ce462653DbF0BB3e4f3FDd81697FEc4,https://gitcoin.co/mangorocoro,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/dan/120/109_2.png
martz,Chris Martz,https://gov.gitcoin.co/t/introducing-stewards-governance/41/37,0x224e69025A2f705C8f31EFB6694398f8Fd09ac5C,https://gitcoin.co/martz,https://avatars.discourse-cdn.com/v4/letter/m/2bfe46/120.png
zakcole,Zak Cole,https://gov.gitcoin.co/t/introducing-stewards-governance/41/38,0x554c5af96e9e3c05aec01ce18221d0dd25975ab4,https://gitcoin.co/zakcole,https://avatars.discourse-cdn.com/v4/letter/z/8edcca/120.png
tobyshorin,Toby Shorin,https://gov.gitcoin.co/t/introducing-stewards-governance/41/39,0xc7e6bbf6dbe78b40640385e73dc1958f4428fb3e,https://gitcoin.co/tobyshorin,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/toby/120/110_2.png
octopus,,https://gov.gitcoin.co/t/introducing-stewards-governance/41/40,0x77d40c87D423eFb7ec576e80998A48377Adf86dF,https://gitcoin.co/octopus,https://avatars.discourse-cdn.com/v4/letter/o/ebca7d/120.png
phutchins,Philip Hutchins,https://gov.gitcoin.co/t/introducing-stewards-governance/41/41,0x6BF1EBa9740441D0A8822EDa4E116a74f850d81B,https://gitcoin.co/phutchins,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/phutchins/120/95_2.png
ntnsndr,Nathan Schneider,https://gov.gitcoin.co/t/introducing-stewards-governance/41/42,0x6375885ce997543cc7e057fe9af3e255d52fb4f4,https://gitcoin.co/ntnsndr,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/ntnsndr/120/118_2.png